,const,rm_rf
1185,-0.03715352949724677,1.1157286021869475
1186,-0.037358479303761086,1.1155663268165212
1187,-0.037562493374215786,1.1154004220634712
1188,-0.03776556284826247,1.1152308778634399
1189,-0.03796767885600758,1.115057684252975
1190,-0.03816883251751439,1.1148808313697698
1191,-0.03836901494230169,1.114700309452947
1192,-0.03856821722883637,1.1145161088433777
1193,-0.038766430464023234,1.1143282199840459
1194,-0.03896364572268992,1.114136633420456
1195,-0.03915985406706924,1.1139413398010882
1196,-0.039355046546278194,1.1137423298778915
1197,-0.03954921419579392,1.1135395945068312
1198,-0.0397423480369272,1.113333124648471
1199,-0.039934439076294834,1.1131229113686159
1200,-0.04012547830528865,1.1129089458389894
1201,-0.040315456699544915,1.112691219337966
1202,-0.04050436521841168,1.1124697232513499
1203,-0.04069219480441582,1.1122444490732013
1204,-0.04087893638273004,1.112015388406719
1205,-0.04106458086064033,1.1117825329651612
1206,-0.04124911912701329,1.1115458745728255
1207,-0.04143254205176513,1.11130540516608
1208,-0.041614840485331844,1.1110611167944384
1209,-0.04179600525814131,1.1108130016216955
1210,-0.04197602718008731,1.1105610519271045
1211,-0.04215489704000702,1.1103052601066186
1212,-0.04233260560516105,1.110045618674175
1213,-0.04250914362071645,1.1097821202630347
1214,-0.04268450180923514,1.1095147576271784
1215,-0.04285867087016556,1.1092435236427507
1216,-0.043031641479339834,1.1089684113095646
1217,-0.0432034042884756,1.1086894137526468
1218,-0.043373949924684504,1.1084065242238526
1219,-0.0435432689899861,1.1081197361035224
1220,-0.04371135206082906,1.1078290429021984
1221,-0.04387818968761876,1.1075344382623884
1222,-0.04404377239425326,1.1072359159603924
1223,-0.044208090677667185,1.1069334699081792
1224,-0.04437113500738305,1.1066270941553074
1225,-0.04453289582507358,1.1063167828909148
1226,-0.044693363544131504,1.1060025304457535
1227,-0.04485252854925089,1.1056843312942763
1228,-0.04501038119601706,1.1053621800567788
1229,-0.04516691181050969,1.1050360715015946
1230,-0.04532211068891456,1.1047060005473377
1231,-0.04547596809715003,1.104371962265207
1232,-0.0456284742705032,1.1040339518813322
1233,-0.045779619413280084,1.1036919647791736
1234,-0.04592939369846927,1.1033459965019745
1235,-0.04607778726741791,1.1029960427552632
1236,-0.04622479022952381,1.1026420994094035
1237,-0.04637039266194009,1.1022841625021933
1238,-0.0465145846092964,1.1019222282415155
1239,-0.04665735608343466,1.1015562930080274
1240,-0.04679869706316199,1.101186353357916
1241,-0.04693859749401868,1.100812406025671
1242,-0.047077047288063494,1.1004344479269286
1243,-0.04721403632367729,1.100052476161349
1244,-0.04734955444538326,1.0996664880155393
1245,-0.04748359146368563,1.0992764809660147
1246,-0.04761613715492715,1.0988824526822085
1247,-0.04774718126116609,1.0984844010295183
1248,-0.04787671349007186,1.0980823240723938
1249,-0.04800472351484126,1.0976762200774601
1250,-0.04813120097413504,1.0972660875166864
1251,-0.048256135472034944,1.0968519250705775
1252,-0.04837951657802154,1.0964337316314108
1253,-0.048501333826975045,1.0960115063065061
1254,-0.04862157671919678,1.0955852484215265
1255,-0.04874023472045294,1.0951549575238027
1256,-0.048857297262042465,1.0947206333856991
1257,-0.048972753740886,1.0942822760080007
1258,-0.049086593519640453,1.093839885623326
1259,-0.049198805926835856,1.0933934626995725
1260,-0.04930938025703694,1.0929430079433737
1261,-0.04941830577102915,1.0924885223035874
1262,-0.0495255716960294,1.0920300069747975
1263,-0.04963116722592289,1.0915674634008434
1264,-0.04973508152152365,1.0911008932783544
1265,-0.04983730371086268,1.0906302985603031
1266,-0.04993782288950128,1.0901556814595794
1267,-0.05003662812087069,1.089677044452563
1268,-0.05013370843663926,1.0891943902827115
1269,-0.050229052837104896,1.0887077219641548
1270,-0.05032265029161698,1.0882170427852962
1271,-0.05041448973902387,1.0877223563124108
1272,-0.050504560088148756,1.0872236663932509
1273,-0.05059285021829404,1.086720977160648
1274,-0.05067934897977246,1.086214293036107
1275,-0.05076404519446799,1.0857036187334015
1276,-0.050846927656424915,1.0851889592621584
